movieId,polishTitle,originalTitle,year,fullRating,voteCount
644432,Czas na miłość,About Time,2013,7.58373,206460
34273,Super zioło,How High,2001,6.89529,86173
103828,Przyjęcie u Dona,Don's Party,1976,6.64706,34
6059,Harry Angel,Angel Heart,1987,7.60057,51553
10019492,Heartbeat,Heartbeat,2022,0,0
983,Czarny deszcz,Black Rain,1989,6.96781,12956
10032689,Przesilenie zimowe,The Holdovers,2023,7.63022,65207
10029799,Shen Hai,Shen Hai,2023,7.18,50
97754,Truskawkowe oświadczenie,The Strawberry Statement,1970,7,91
1138,Na srebrnym globie,Na srebrnym globie,1987,6.68913,4452
10017200,Haken Anime,Haken Anime,2022,6.38462,13
869010,Shōjo Kageki Revue Starlight,Shōjo Kageki Revue Starlight,2021,8.42857,7
217090,Kamui no ken,Kamui no ken,1985,6.5,22
993,Głębia,The Abyss,1989,7.31205,34245
1042,Absolwent,The Graduate,1967,7.86108,86227
93662,Droga do miasta,Pather Panchali,1955,7.86526,2182
731541,Pokój,Room,2015,7.83081,195428
19,Boogie Nights,Boogie Nights,1997,7.21767,31290
786296,1922,1922,2017,6.03012,42823
628132,Himizu,Himizu,2011,7.03251,646
34372,Ninja Scroll,Jūbee Ninpūchō,1993,7.68007,7936
39126,Punki z Salt Lake City,SLC Punk!,1998,7.16781,3361
103771,Brama ciał,Nikutai no mon,1964,6.71131,336
34651,Kobieta-diabeł,Onibaba,1964,7.63327,3084
31407,Pieśni z drugiego piętra,Sånger från andra våningen,2000,7.57733,5418
877594,Chleb i sól,Chleb i sól,2022,6.75729,10218
767386,Taek-si un-jeon-sa,Taek-si un-jeon-sa,2017,7.52017,942
851849,Arab Blues,Un divan à Tunis,2019,6.18771,4848
91542,Buntownicy neonowego boga,Qing shao nian nuo zha,1992,7.01393,933
229023,Blast of Silence,Blast of Silence,1961,7.20513,156
33328,Dogville,Dogville,2003,7.75034,63269
559,Ukryty wymiar,Event Horizon,1997,6.88979,47725
119575,Dziwny dom,The Old Dark House,1932,6.43923,724
106436,Człowiek Omega,The Omega Man,1971,6.01734,2191
182521,"Jeanne Dielman, Bulwar Handlowy, 1080 Bruksela","Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",1975,7.70463,2546
