serialId,polishTitle,originalTitle,year,fullRating,voteCount,voteDate,userRating,favorite,comment
89970,Kim Kolwiek,Kim Possible,2002,6.70689,5967,2003-07-19,,nie,
99750,Krecik,Krtek,1957,7.42322,19210,2003-07-16,,nie,
230690,Bob Budowniczy,Bob the Builder,1999,5.38998,3095,2003-05-16,,nie,
106129,Strażnicy czasu,Time Squad,2001,6.89641,3060,2003-05-16,,nie,
170289,Przygody Timmy'ego,The Fairly OddParents,2001,6.4634,5423,2003-05-16,,nie,
96167,Scooby-Doo: Gdzie jesteś?,"Scooby-Doo, Where Are You!",1969,7.47417,26767,2003-05-16,,nie,
219079,Pokémon,Pocket Monsters,1997,7.12781,20648,2003-05-15,,nie,
224608,Olimpiada Bolka i Lolka,Olimpiada Bolka i Lolka,1983,6.98816,591,2003-04-17,,nie,
120890,Bolek i Lolek,Bolek i Lolek,1963,6.88353,11351,2003-03-18,,nie,
95399,Dziwne przygody Koziołka Matołka,Dziwne przygody Koziołka Matołka,1969,6.61461,5257,2003-03-18,,nie,
191018,The Looney Tunes Show,The Looney Tunes Show,2002,7.60217,8099,2003-03-12,,nie,
157786,X-Men,X-Men,1992,7.69285,8872,2003-02-18,,nie,
95508,Świat według Ludwiczka,Life with Louie,1995,8.08771,55718,2003-02-18,,nie,
129157,Witaj Franklin,Franklin,1997,6.54773,4274,2003-02-17,,nie,
112988,Kryptonim: Klan na drzewie,Codename: Kids Next Door,2002,6.43829,4351,2002-12-19,,nie,
94757,Dzieciaki z klasy 402,The Kids From Room 402,1999,7.23007,3877,2002-11-23,,nie,
103885,Wilk i Zając,"Nu, pogodi!",1969,7.63436,18781,2002-11-23,,nie,
95051,Liga Sprawiedliwych,Justice League,2001,7.63536,5238,2002-06-06,,nie,
103881,Pszczółka Maja,Mitsubachi Maaya no Bōken,1975,6.8296,12694,2002-05-19,,nie,
96097,Timon i Pumba,Timon and Pumbaa,1995,7.2408,8181,2002-05-16,,nie,
36355,Nowe przygody Scooby Doo,The New Scooby-Doo Movies,1972,7.05493,5753,2002-03-19,,nie,
95741,Odlotowe agentki,Totally Spies!,2001,6.95493,13246,2001-12-26,,nie,
103517,Mroczne przygody Billy'ego i Mandy,Grim and Evil,2001,7.32638,7093,2001-12-26,,nie,
197303,Różowa Pantera,The Pink Panther Show,1969,7.1343,9419,2001-12-22,,nie,
181102,Mroczni i źli,Evil Con Carne,2003,6.62466,1095,2001-12-11,,nie,
