gameId,polishTitle,originalTitle,year,fullRating,voteCount,voteDate,userRating,favorite
613820,Deluxe Ski Jump 2,Deluxe Ski Jump 2,2001,8.21383,4976,2003-05-16,,nie
768707,Taxi 2,Taxi 2,2000,7.375,8,2003-05-16,,nie
607694,Snajper,Sniper: Path of Vengeance,2002,4.53514,370,2003-05-16,,nie
650107,Pac-Man,Pac-Man,1980,7.10183,874,2003-05-16,,nie
618697,Crazy Taxi,Crazy Taxi,2001,6.08126,923,2003-05-16,,nie
623631,Jazz Jackrabbit 2: Zimowe przygody,Jazz Jackrabbit 2: The Christmas Chronicles,1998,7.48566,488,2003-05-15,,nie
609932,Jazz Jackrabbit,Jazz Jackrabbit,1994,7.38479,1328,2003-04-23,,nie
609938,Worms,Worms,1994,7.541,2183,2003-02-10,,nie
623740,Delta Force 2,Delta Force 2,1999,7,131,2002-07-18,,nie
658442,Legend of Legaia,Legaia Densetsu,1998,7.53333,15,2002-02-18,,tak
612287,Toy Story 2: Gra akcji,Toy Story 2: Buzz Lightyear to the Rescue!,1999,7.36051,1104,2002-02-10,,nie
639911,Spyro: Year of the Dragon,Spyro: Year of the Dragon,2000,8.34615,858,2002-01-18,,nie
608720,Deus Ex,Deus Ex,2000,8.33444,3328,2001-11-26,,nie
614899,Delta Force: Land Warrior,Delta Force: Land Warrior,2000,6.7861,187,2001-11-26,,nie
615802,MechWarrior 3,MechWarrior 3,1999,7.425,40,2001-11-26,,nie
618922,Biohazard: Gun Survivor,Biohazard: Gun Survivor,2000,5.36458,288,2001-11-11,,nie
623697,Delta Force,Delta Force,1998,6.8932,206,2001-08-25,,nie
612508,Croc 2: Kingdom of the Gobbo's,Croc 2: Kingdom of the Gobbo's,1999,7.28192,979,2001-08-24,,nie
639222,Spyro the Dragon,Spyro the Dragon,1998,8.14355,1860,2001-08-23,,nie
703477,Pasjans,Solitaire,1990,6.75068,369,2001-08-20,,nie
639282,MediEvil,MediEvil,1998,8.12849,1253,2001-08-18,,nie
609827,Tony Hawk's Pro Skater 2,Tony Hawk's Pro Skater 2,2000,8.14178,5297,2001-07-19,,nie
626520,Saper,Minesweeper,1992,7.0018,1108,2001-07-19,,nie
738244,Full Tilt! Pinball,Full Tilt! Pinball,1996,6.93333,15,2001-06-26,,nie
704985,Pepsiman,Pepsiman,1999,5.78125,32,2001-06-17,,nie
642210,A Bug's Life,A Bug's Life,1998,6.3764,178,2001-02-04,,nie
612144,Turok 2: Seeds of Evil,Turok 2: Seeds of Evil,1998,7.09556,293,2000-10-26,,nie
715187,Casper,Casper,1996,7,15,2000-09-18,,nie
