Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3221683,Latarnik,Henryk Sienkiewicz,"Sienkiewicz, Henryk",,"=""8373271783""","=""9788373271784""",0,GREG,Paperback,32,1999,1881,2010/01/01,2020/05/24,,,read,,,,1,0
2151148,Balladyna,Juliusz Słowacki,"Słowacki, Juliusz",,"=""8306000412""","=""9788306000412""",0,IBIS,Hardcover,172,2008,1839,2011/01/01,2020/06/11,,,read,,,,1,0
10556960,Skąpiec,Molière,"Molière, Molière","Tadeusz Boy-Żeleński, Jan Kott","=""""","=""""",0,Zakład Narodowy im. Ossolińskich,Paperback,136,1954,1668,2012/01/01,2020/06/11,,,read,,,,1,0
1904868,Przedwiośnie,Stefan Żeromski,"Żeromski, Stefan",,"=""8373899308""","=""""",3,Zielona Sowa,Paperback,208,2005,1924,2013/01/01,2020/05/20,,,read,,,,1,0
15442590,"""Oda do Młodości"" w przekładach na języki słowiańskie",Adam Mickiewicz,"Mickiewicz, Adam",,"=""8385118764""","=""9788385118763""",0,Wydawn. Energeia,Hardcover,68,1998,1820,2012/01/01,2020/06/11,,,read,,,,1,0
7636302,Makbet,William Shakespeare,"Shakespeare, William",,"=""8373891145""","=""9788373891142""",0,Zielona Sowa,Paperback,130,2005,1623,2012/01/01,2020/06/11,,,read,,,,1,0
2429069,Kordian. Część pierwsza trylogii. Spisek koronacyjny,Juliusz Słowacki,"Słowacki, Juliusz",,"=""""","=""""",0,Greg,Hardcover,127,2008,1834,2013/01/01,2020/06/11,,,read,,,,1,0
484466,Lalka,Bolesław Prus,"Prus, Bolesław",,"=""8304027763""","=""9788304027763""",3,Zielona Sowa,Paperback,592,2007,1890,2013/01/01,2020/05/20,,,read,,,,1,0
7889335,Król Edyp,Sophocles,"Sophocles, Sophocles","Sofokles, Kazimierz Morawski","=""""","=""""",0,Greg,Paperback,76,2007,-429,2013/01/01,2020/06/11,,,read,,,,1,0
8301943,Cierpienia młodego Wertera,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",,"=""8376230468""","=""9788376230467""",0,Zielona Sowa,Hardcover,104,2009,1774,2013/01/01,2020/06/11,,,read,,,,1,0
6961326,Antygona,Sophocles,"Sophocles, Sophocles","Sofokles, Kazimierz Morawski","=""""","=""""",0,GREG,Paperback,78,2012,-441,2013/01/01,2020/06/11,,,read,,,,1,0
1841723,Chłopi,Władysław Stanisław Reymont,"Reymont, Władysław Stanisław",,"=""8373899294""","=""9788373899292""",0,Zielona Sowa,Hardcover,616,2005,1909,2013/01/01,2020/05/20,,,read,,,,1,0
33305320,Choinka,Hans Christian Andersen,"Andersen, Hans Christian",,"=""8327227971""","=""9788327227973""",0,Wolne Lektury,,7,,,2003/01/01,2020/06/11,,,read,,,,1,0
24155495,Brzydkie kaczątko,Hans Christian Andersen,"Andersen, Hans Christian",,"=""""","=""""",0,"Level Four Publications, Inc.",Kindle Edition,14,2014,1843,2003/01/01,2020/06/11,,,read,,,,1,0
1946283,"Dziewczyna z zapałkami (Hanka, #1)",Anna Janko,"Janko, Anna",,"=""8373862374""","=""9788373862371""",0,Nowy Świat,Hardcover,264,2007,2007,2003/01/01,2020/06/11,,,read,,,,2,0
6494437,Cała prawda o planecie Ksi / Drugie spojrzenie na planetę Ksi,Janusz A. Zajdel,"Zajdel, Janusz A.",,"=""8370541755""","=""9788370541750""",0,superNOWA,Paperback,287,2005,1983,2020/06/11,2020/05/30,,,read,,,,1,0
17303676,Cała prawda o planecie Ksi,Janusz A. Zajdel,"Zajdel, Janusz A.",,"=""8308020739""","=""""",3,Wydawnictwo Literackie,Paperback,235,1991,1983,2020/06/11,2020/05/30,,,read,,,,1,0
2099342,Paradyzja,Janusz A. Zajdel,"Zajdel, Janusz A.",,"=""8320707005""","=""""",4,Iskry,Paperback,140,1984,1984,2020/06/07,2020/05/30,,,read,,,,1,0
18194,The Cyberiad,Stanisław Lem,"Lem, Stanisław","Michael Kandel, Daniel Mróz","=""""","=""""",0,Harcourt,Paperback,295,2002,1965,,2020/06/06,to-read,to-read (#2),to-read,,,,0,0
95558,Solaris,Stanisław Lem,"Lem, Stanisław","Joanna Kilmartin, Steve Cox","=""""","=""""",0,Harcourt,Paperback,204,2002,1961,,2020/06/06,to-read,to-read (#1),to-read,,,,0,0
