Title,Year,Rating10,WatchedDate
Avatar,2009,6,2012-02-04
The Dark Knight,2008,9,2012-02-04
Mission: Impossible - Ghost Protocol,2011,,2011-12-16
Salt,2010,,2011-12-09
Taken,2008,,2011-10-24
Life in a Day,2011,,2011-07-18
Zemsta,2002,,2011-06-17
The Tourist,2010,,2011-04-20
The Book of Eli,2010,                     ,
Surrogates,2009,                     ,
Miasto ruin,2010,                     ,
Toy Story 3,2010,                     ,
Johnny English,2003,,2010-07-18
Ocean's Thirteen,2007,,2010-06-17
Wesele,1972,,2010-04-19
Pan Tadeusz,1999,,2010-04-18
Hancock,2008,,2010-04-12
Ocean's Twelve,2004,,2009-11-18
Mr. Bean's Holiday,2007,,2009-10-24
Quantum of Solace,2008,7,2008-11-26
Madagascar: Escape 2 Africa,2008,,2008-11-19
Back to the Future Part III,1990,,2008-10-24
The Chronicles of Riddick,2004,,2008-09-16
The Matrix Revolutions,2003,,2008-08-20
Around the World in 80 Days,2004,,2008-06-16
Beverly Hills Cop,1984,,2008-02-17
Mr. & Mrs. Smith,2005,,2007-11-25
Mission: Impossible II,2000,,2007-10-30
Commando,1985,,2007-08-18
Eraser,1996,,2007-08-17
Harry Potter and the Order of the Phoenix,2007,,2007-07-25
Pirates of the Caribbean: At World's End,2007,,2007-07-19
Shrek the Third,2007,,2007-06-25
Surf's Up,2007,,2007-06-18
Jaws 2,1978,                     ,
Naked Gun 33 1/3: The Final Insult,1994,                     ,
Kiwi!,2006,             10        ,
The Matrix Reloaded,2003,,2007-05-16
Back to the Future Part II,1989,,2007-05-16
The Lost World: Jurassic Park,1997,,2007-05-09
TMNT,2007,,2007-04-24
Bean,1997,,2007-04-20
The 6th Day,2000,,2007-03-18
Rambo: First Blood Part II,1985,,2007-03-05
Chłopaki nie płaczą,2000,,2007-02-10
Trapped,2002,,2007-02-03
Total Recall,1990,,2007-01-17
Collateral,2004,,2006-12-30
Groundhog Day,1993,,2006-11-27
National Treasure,2004,,2006-11-26
The Siege,1998,,2006-10-31
Flushed Away,2006,,2006-10-30
True Lies,1994,,2006-10-24
The Fan,1996,,2006-09-23
The Passion of the Christ,2004,,2006-09-23
"The Karate Kid, Part III",1989,,2006-08-26
The Hurricane,1999,,2006-08-21
Ransom,1996,,2006-08-21
Finding Neverland,2004,                     ,
The Day After Tomorrow,2004,                     ,
Rush Hour,1998,                     ,
The Aviator,2004,                     ,
War of the Worlds,2005,,2006-07-20
The Firm,1993,,2006-07-19
Jingle All the Way,1996,,2006-07-19
Pirates of the Caribbean: Dead Man's Chest,2006,,2006-07-19
Minority Report,2002,,2006-07-19
Billy Elliot,2000,,2006-07-16
Predator,1987,,2006-06-25
The Naked Gun: From the Files of Police Squad!,1988,,2006-06-25
Jaws,1975,,2006-06-25
Ice Age 2: The Meltdown,2006,,2006-06-24
Behind Enemy Lines,2001,,2006-06-18
The Running Man,1987,,2006-06-17
Mickey's Christmas Carol,1983,,2006-06-17
Over the Hedge,2006,,2006-05-18
Collateral Damage,2002,,2006-05-15
As Good as It Gets,1997,,2006-05-08
Meet the Parents,2000,,2006-05-02
Escape from New York,1981,,2006-04-12
Poranek kojota,2001,,2006-04-11
The Postman,1997,,2006-04-04
Jackass: The Movie,2002,,2006-03-05
Lara Croft: Tomb Raider,2001,,2006-02-11
The Last Boy Scout,1991,                     ,
Akademia pana Kleksa,1983,                     ,
Bad Boys II,2003,                     ,
Coming to America,1988,,2005-11-25
Bicentennial Man,1999,,2005-11-19
Chicken Little,2005,,2005-11-17
Taxi,1998,,2005-10-31
Double Jeopardy,1999,,2005-10-30
Robin Hood,1973,,2005-10-19
Romeo Must Die,2000,,2005-10-18
Clear and Present Danger,1994,,2005-10-11
Gone in Sixty Seconds,2000,,2005-09-29
Payback,1999,,2005-09-23
Air Force One,1997,,2005-08-20
Showtime,2002,,2005-08-20
Jing cha gu shi IV: Jian dan ren wu,1996,,2005-08-20
Patriot Games,1992,,2005-08-08
W pustyni i w puszczy,2001,,2005-07-26
S.W.A.T.,2003,,2005-07-26
First Blood,1982,,2005-07-25
Astérix et Cléopâtre,1968,,2005-07-23
The Fugitive,1993,,2005-07-19
The Sum of All Fears,2002,,2005-07-19
Rambo III,1988,,2005-07-19
The Naked Gun 2½: The Smell of Fear,1991,                     ,
Once Upon a Time in Mexico,2003,                     ,
Red Heat,1988,                     ,
Lethal Weapon 4,1998,                     ,
The Patriot,2000,,2005-07-18
Bruce Almighty,2003,,2005-07-18
Kindergarten Cop,1990,,2005-07-18
Planet of the Apes,2001,,2005-07-18
Mary Poppins,1964,,2005-07-16
Angels & Demons,2009,,2005-06-27
Stop! Or My Mom Will Shoot,1992,,2005-06-17
"The Karate Kid, Part II",1986,,2005-06-17
Astérix et Obélix contre César,1999,,2005-06-17
The Life of David Gale,2003,,2005-06-17
Tango & Cash,1989,,2005-06-17
Speed 2: Cruise Control,1997,,2005-05-29
Lethal Weapon 3,1992,,2005-05-19
The Mask of Zorro,1998,,2005-05-15
Free Willy,1993,,2005-05-12
Junior,1994,,2005-04-19
Mission: Impossible,1996,,2005-04-05
Analyze This,1999,,2005-04-03
Analyze That,2002,,2005-03-19
Artificial Intelligence: AI,2001,,2005-03-18
Bad Boys,1995,,2005-03-11
The Mummy Returns,2001,,2005-02-26
Police Academy 5: Assignment: Miami Beach,1988,                     ,
Scooby-Doo,2002,                     ,
Wild Wild West,1999,                     ,
Last Action Hero,1993,,2004-11-26
Les douze travaux d'Astérix,1976,,2004-11-25
Rush Hour 2,2001,,2004-11-24
Insomnia,2002,,2004-11-21
Shark Tale,2004,7,2004-11-19
Outbreak,1995,,2004-11-17
Enemy of the State,1998,,2004-10-31
The General's Daughter,1999,,2004-10-29
John Q,2002,,2004-10-25
Copycat,1995,,2004-10-24
xXx,2002,,2004-10-24
Shrek 2,2004,,2004-10-10
Dances with Wolves,1990,,2004-09-30
Red Planet,2000,,2004-09-02
Lethal Weapon 2,1989,,2004-07-30
Looney Tunes: Back in Action,2003,6,2004-07-24
Spider-Man 2,2004,,2004-07-20
Beverly Hills Cop II,1987,,2004-06-25
Pirates of the Caribbean: The Curse of the Black Pearl,2003,,2004-06-25
The Scorpion King,2002,,2004-06-17
Daylight,1996,,2004-06-17
Police Academy 4: Citizens on Patrol,1987,,2004-06-17
The Sixth Sense,1999,                     ,
The Mask,1994,                     ,
Speed,1994,                     ,
Falling Down,1993,,2004-06-02
The Blues Brothers,1980,,2004-05-30
Beverly Hills Cop III,1994,,2004-05-16
Indiana Jones and the Last Crusade,1989,,2004-05-16
Forever Young,1992,,2004-05-09
Stuart Little,1999,,2004-04-29
Raiders of the Lost Ark,1981,,2004-04-18
Yat Goh Hiu Yan,1997,,2004-04-12
Entrapment,1999,,2004-03-19
Another 48 Hrs.,1990,,2004-03-05
Executive Decision,1996,,2004-02-10
Police Academy 3: Back in Training,1986,,2004-02-10
Under Siege,1992,,2004-02-07
Nutty Professor II: The Klumps,2000,,2004-02-03
The Karate Kid,1984,,2004-01-25
Kiler-ów 2-óch,1999,,2003-12-09
Phone Booth,2002,,2003-12-02
Pretty Woman,1990,,2003-11-27
Flubber,1997,,2003-11-26
Popeye,1980,,2003-11-26
Doctor Dolittle,1998,,2003-11-26
Home Alone 2: Lost in New York,1992,                     ,
Above the Law,1988,                     ,
48 Hrs.,1982,                     ,
Police Academy 2: Their First Assignment,1985,                     ,
Metro,1997,,2003-08-27
Spy Kids 3-D: Game Over,2003,,2003-07-25
Cliffhanger,1993,,2003-07-18
For the Birds,2000,8,2003-06-26
Hercules,1997,,2003-06-19
Finding Nemo,2003,,2003-06-18
Batman Forever,1995,,2003-06-17
Spider-Man,2002,,2003-06-16
Babe,1995,,2003-06-10
Yamakasi - Les Samurai des Temps Modernes,2001,,2003-05-29
101 Dalmatians,1996,,2003-05-16
Batman & Robin,1997,,2003-05-16
The Jackal,1997,,2003-05-15
Independence Day,1996,,2003-04-14
Police Academy,1984,,2003-03-12
Lady and the Tramp,1955,,2003-02-03
The Nutty Professor,1996,,2003-01-19
Demolition Man,1993,,2002-12-30
Harry Potter and the Chamber of Secrets,2002,,2002-12-25
Lilo & Stitch,2002,,2002-07-26
Ice Age,2002,,2002-07-23
102 Dalmatians,2000,,2002-07-19
The Flintstones,1994,                     ,
Alice in Wonderland,1951,                     ,
One Hundred and One Dalmatians,1961,                     ,
"Monsters, Inc.",2001,,2001-11-18
Bambi,1942,,2001-08-24
Thumbelina,1994,,2001-07-24
Cinderella,1950,,2001-07-23
Casper,1995,,2001-07-19
A Bug's Life,1998,,2001-07-18
Pinocchio,1940,,2001-06-25
Peter Pan,1953,,2001-06-24
Pocahontas,1995,,2001-06-20
Aladdin,1992,,2001-06-19
The Return of Jafar,1994,,2001-06-19
Chicken Run,2000,,2001-03-18
Scooby-Doo And Mummy Too,1969,,2000-07-23
Tarzan,1999,,2000-06-24
Antz,1998,,2000-06-23
Mulan,1998,,2000-06-18
Toy Story 2,1999,,1999-12-17
Beauty and the Beast,1991,,1999-08-27
Tom and Jerry: The Movie,1992,,1999-07-24
Toy Story,1995,                     ,
The Lion King II: Simba's Pride,1998,                     ,
The Many Adventures of Winnie the Pooh,1977,                     ,
